conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P13-1041.pdf,The Haves and the Have-Nots: Leveraging Unlabelled Corpora for Sentiment Analysis,"Kashyap Popat,Balamurali A.R,Pushpak Bhattacharyya,Gholamreza Haffari",None,27
acl,https://aclanthology.org/P13-1042.pdf,Large-scale Semantic Parsing via Schema Matching and Lexicon Extension,"Qingqing Cai,Alexander Yates",None,315
acl,https://aclanthology.org/P13-1043.pdf,Fast and Accurate Shift-Reduce Constituent Parsing,"Muhua Zhu,Yue Zhang,Wenliang Chen,Min Zhang,Jingbo Zhu",None,217
acl,https://aclanthology.org/P13-1044.pdf,Nonconvex Global Optimization for Latent-Variable Models,"Matthew R. Gormley,Jason Eisner",None,16
acl,https://aclanthology.org/P13-1045.pdf,Parsing with Compositional Vector Grammars,"Richard Socher,John Bauer,Christopher D. Manning,Andrew Y. Ng",None,1075
acl,https://aclanthology.org/P13-1046.pdf,Discriminative state tracking for spoken dialog systems,"Angeliki Metallinou,Dan Bohus,Jason Williams",None,45
acl,https://aclanthology.org/P13-1047.pdf,Leveraging Synthetic Discourse Data via Multi-task Learning for Implicit Discourse Relation Recognition,"Man Lan,Yu Xu,Zhengyu Niu",None,64
acl,https://aclanthology.org/P13-1048.pdf,Combining Intra- and Multi-sentential Rhetorical Parsing for Document-level Discourse Analysis,"Shafiq Joty,Giuseppe Carenini,Raymond Ng,Yashar Mehdad",None,168
acl,https://aclanthology.org/P13-1049.pdf,Improving pairwise coreference models through feature space hierarchy learning,"Emmanuel Lassalle,Pascal Denis",None,16
acl,https://aclanthology.org/P13-1050.pdf,Feature-Based Selection of Dependency Paths in Ad Hoc Information Retrieval,"K. Tamsin Maxwell,Jon Oberlander,W. Bruce Croft",None,15
acl,https://aclanthology.org/P13-1051.pdf,Coordination Structures in Dependency Treebanks,"Martin Popel,David Mareček,Jan Štěpánek,Daniel Zeman,Zdeněk Žabokrtský",None,62
acl,https://aclanthology.org/P13-1052.pdf,GlossBoot: Bootstrapping Multilingual Domain Glossaries from the Web,"Flavio De Benedictis,Stefano Faralli,Roberto Navigli",None,23
acl,https://aclanthology.org/P13-1053.pdf,Collective Annotation of Linguistic Resources: Basic Principles and a Formal Model,"Ulle Endriss,Raquel Fernández",None,22
acl,https://aclanthology.org/P13-1054.pdf,ParGramBank: The ParGram Parallel Treebank,"Sebastian Sulger,Miriam Butt,Tracy Holloway King,Paul Meurer,Tibor Laczkó,György Rákosi,Cheikh Bamba Dione,Helge Dyvik,Victoria Rosén,Koenraad De Smedt,Agnieszka Patejuk,Özlem Çetinoğlu,I Wayan Arka,Meladel Mistica",None,49
acl,https://aclanthology.org/P13-1055.pdf,Identifying Bad Semantic Neighbors for Improving Distributional Thesauri,Olivier Ferret,None,23
acl,https://aclanthology.org/P13-1056.pdf,Models of Semantic Representation with Visual Attributes,"Carina Silberer,Vittorio Ferrari,Mirella Lapata",None,85
acl,https://aclanthology.org/P13-1057.pdf,Real-World Semi-Supervised Learning of POS-Taggers for Low-Resource Languages,"Dan Garrette,Jason Mielens,Jason Baldridge",None,55
acl,https://aclanthology.org/P13-1058.pdf,Using subcategorization knowledge to improve case prediction for translation to German,"Marion Weller,Alexander Fraser,Sabine Schulte im Walde",None,30
acl,https://aclanthology.org/P13-1059.pdf,Name-aware Machine Translation,"Haibo Li,Jing Zheng,Heng Ji,Qi Li,Wen Wang",None,12
acl,https://aclanthology.org/P13-1060.pdf,Decipherment Complexity in 1:1 Substitution Ciphers,"Malte Nuhn,Hermann Ney",None,13
acl,https://aclanthology.org/P13-1061.pdf,Non-Monotonic Sentence Alignment via Semisupervised Learning,"Xiaojun Quan,Chunyu Kit,Yan Song",None,11
acl,https://aclanthology.org/P13-1062.pdf,Bootstrapping Entity Translation on Weakly Comparable Corpora,"Taesung Lee,Seung-won Hwang",None,14
acl,https://aclanthology.org/P13-1063.pdf,Transfer Learning Based Cross-lingual Knowledge Extraction for Wikipedia,"Zhigang Wang,Zhixing Li,Juanzi Li,Jie Tang,Jeff Z. Pan",None,26
acl,https://aclanthology.org/P13-1064.pdf,Bridging Languages through Etymology: The case of cross language text categorization,"Vivi Nastase,Carlo Strapparava",None,8
acl,https://aclanthology.org/P13-1065.pdf,Creating Similarity: Lateral Thinking for Vertical Similarity Judgments,"Tony Veale,Guofu Li",None,25
acl,https://aclanthology.org/P13-1066.pdf,Discovering User Interactions in Ideological Discussions,"Arjun Mukherjee,Bing Liu",None,26
acl,https://aclanthology.org/P13-1067.pdf,Multilingual Affect Polarity and Valence Prediction in Metaphor-Rich Texts,Zornitsa Kozareva,None,17
acl,https://aclanthology.org/P13-1068.pdf,Large tagset labeling using Feed Forward Neural Networks. Case study on Romanian Language,"Tiberiu Boros,Radu Ion,Dan Tufis",None,15
acl,https://aclanthology.org/P13-1069.pdf,Learning to lemmatise Polish noun phrases,Adam Radziszewski,None,7
