conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P12-1001.pdf,Learning to Translate with Multiple Objectives,"Kevin Duh,Katsuhito Sudoh,Xianchao Wu,Hajime Tsukada,Masaaki Nagata",None,27
acl,https://aclanthology.org/P12-1002.pdf,Joint Feature Selection in Distributed Stochastic Learning for Large-Scale Discriminative Training in SMT,"Patrick Simianer,Stefan Riezler,Chris Dyer",None,61
acl,https://aclanthology.org/P12-1003.pdf,Prediction of Learning Curves in Machine Translation,"Prasanth Kolachina,Nicola Cancedda,Marc Dymetman,Sriram Venkatapathy",None,32
acl,https://aclanthology.org/P12-1004.pdf,Probabilistic Integration of Partial Lexical Information for Noise Robust Haptic Voice Recognition,Khe Chai Sim,None,7
acl,https://aclanthology.org/P12-1005.pdf,A Nonparametric Bayesian Approach to Acoustic Model Discovery,"Chia-ying Lee,James Glass",None,238
acl,https://aclanthology.org/P12-1006.pdf,Automated Essay Scoring Based on Finite State Transducer: towards ASR Transcription of Oral English Speech,"Xingyuan Peng,Dengfeng Ke,Bo Xu",None,4
acl,https://aclanthology.org/P12-1007.pdf,Text-level Discourse Parsing with Rich Linguistic Features,"Vanessa Wei Feng,Graeme Hirst",None,199
acl,https://aclanthology.org/P12-1008.pdf,PDTB-style Discourse Annotation of Chinese Text,"Yuping Zhou,Nianwen Xue",None,126
acl,https://aclanthology.org/P12-1009.pdf,SITS: A Hierarchical Nonparametric Model using Speaker Identity for Topic Segmentation in Multiparty Conversations,"Viet-An Nguyen,Jordan Boyd-Graber,Philip Resnik",None,54
acl,https://aclanthology.org/P12-1010.pdf,Extracting Narrative Timelines as Temporal Dependency Structures,"Oleksandr Kolomiyets,Steven Bethard,Marie-Francine Moens",None,58
acl,https://aclanthology.org/P12-1011.pdf,Labeling Documents with Timestamps: Learning from their Time Expressions,Nathanael Chambers,None,55
acl,https://aclanthology.org/P12-1012.pdf,Temporally Anchored Relation Extraction,"Guillermo Garrido,Anselmo Peñas,Bernardo Cabaleiro,Álvaro Rodrigo",None,28
acl,https://aclanthology.org/P12-1013.pdf,Efficient Tree-based Approximation for Entailment Graph Learning,"Jonathan Berant,Ido Dagan,Meni Adler,Jacob Goldberger",None,41
acl,https://aclanthology.org/P12-1014.pdf,Learning High-Level Planning from Text,"S.R.K. Branavan,Nate Kushman,Tao Lei,Regina Barzilay",None,72
acl,https://aclanthology.org/P12-1015.pdf,Distributional Semantics in Technicolor,"Elia Bruni,Gemma Boleda,Marco Baroni,Nam-Khanh Tran",None,404
acl,https://aclanthology.org/P12-1016.pdf,A Class-Based Agreement Model for Generating Accurately Inflected Translations,"Spence Green,John DeNero",None,62
acl,https://aclanthology.org/P12-1017.pdf,Deciphering Foreign Language by Combining Language Models and Context Vectors,"Malte Nuhn,Arne Mauser,Hermann Ney",None,45
acl,https://aclanthology.org/P12-1018.pdf,Machine Translation without Words through Substring Alignment,"Graham Neubig,Taro Watanabe,Shinsuke Mori,Tatsuya Kawahara",None,42
acl,https://aclanthology.org/P12-1019.pdf,Fast Syntactic Analysis for Statistical Language Modeling via Substructure Sharing and Uptraining,"Ariya Rastrow,Mark Dredze,Sanjeev Khudanpur",None,6
acl,https://aclanthology.org/P12-1020.pdf,Bootstrapping a Unified Model of Lexical and Phonetic Acquisition,"Micha Elsner,Sharon Goldwater,Jacob Eisenstein",None,31
acl,https://aclanthology.org/P12-1021.pdf,"Discriminative Pronunciation Modeling: A Large-Margin, Feature-Rich Approach","Hao Tang,Joseph Keshet,Karen Livescu",None,15
acl,https://aclanthology.org/P12-1022.pdf,Discriminative Strategies to Integrate Multiword Expression Recognition and Parsing,"Matthieu Constant,Anthony Sigogne,Patrick Watrin",None,50
acl,https://aclanthology.org/P12-1023.pdf,Utilizing Dependency Language Models for Graph-based Dependency Parsing Models,"Wenliang Chen,Min Zhang,Haizhou Li",None,28
acl,https://aclanthology.org/P12-1024.pdf,Spectral Learning of Latent-Variable PCFGs,"Shay B. Cohen,Karl Stratos,Michael Collins,Dean P. Foster,Lyle Ungar",None,84
acl,https://aclanthology.org/P12-1025.pdf,Reducing Approximation and Estimation Errors for Chinese Lexical Processing with Heterogeneous Annotations,"Weiwei Sun,Xiaojun Wan",None,31
acl,https://aclanthology.org/P12-1026.pdf,Capturing Paradigmatic and Syntagmatic Lexical Relations: Towards Accurate Chinese Part-of-Speech Tagging,"Weiwei Sun,Hans Uszkoreit",None,28
acl,https://aclanthology.org/P12-1027.pdf,Fast Online Training with Frequency-Adaptive Learning Rates for Chinese Word Segmentation and New Word Detection,"Xu Sun,Houfeng Wang,Wenjie Li",None,101
acl,https://aclanthology.org/P12-1028.pdf,Verb Classification using Distributional Similarity in Syntactic and Semantic Structures,"Danilo Croce,Alessandro Moschitti,Roberto Basili,Martha Palmer",None,24
acl,https://aclanthology.org/P12-1029.pdf,Word Sense Disambiguation Improves Information Retrieval,"Zhi Zhong,Hwee Tou Ng",None,122
acl,https://aclanthology.org/P12-1030.pdf,Efficient Search for Transformation-based Inference,"Asher Stern,Roni Stern,Ido Dagan,Ariel Felner",None,23
acl,https://aclanthology.org/P12-1031.pdf,Maximum Expected BLEU Training of Phrase and Lexicon Translation Models,"Xiaodong He,Li Deng",None,70
acl,https://aclanthology.org/P12-1032.pdf,Learning Translation Consensus with Structured Label Propagation,"Shujie Liu,Chi-Ho Li,Mu Li,Ming Zhou",None,16
acl,https://aclanthology.org/P12-1033.pdf,Smaller Alignment Models for Better Translations: Unsupervised Word Alignment with the l0-norm,"Ashish Vaswani,Liang Huang,David Chiang",None,38
acl,https://aclanthology.org/P12-1034.pdf,Modeling Review Comments,"Arjun Mukherjee,Bing Liu",None,76
acl,https://aclanthology.org/P12-1035.pdf,A Joint Model for Discovery of Aspects in Utterances,"Asli Celikyilmaz,Dilek Hakkani-Tur",None,10
acl,https://aclanthology.org/P12-1036.pdf,Aspect Extraction through Semi-Supervised Modeling,"Arjun Mukherjee,Bing Liu",None,431
acl,https://aclanthology.org/P12-1037.pdf,Learning to “Read Between the Lines” using Bayesian Logic Programs,"Sindhu Raghavan,Raymond Mooney,Hyeonseo Ku",None,25
acl,https://aclanthology.org/P12-1038.pdf,Collective Generation of Natural Image Descriptions,"Polina Kuznetsova,Vicente Ordonez,Alexander Berg,Tamara Berg,Yejin Choi",None,365
acl,https://aclanthology.org/P12-1039.pdf,Concept-to-text Generation via Discriminative Reranking,"Ioannis Konstas,Mirella Lapata",None,76
acl,https://aclanthology.org/P12-1040.pdf,A Discriminative Hierarchical Model for Fast Coreference at Large Scale,"Michael Wick,Sameer Singh,Andrew McCallum",None,82
acl,https://aclanthology.org/P12-1041.pdf,Coreference Semantics from Web Features,"Mohit Bansal,Dan Klein",None,56
acl,https://aclanthology.org/P12-1042.pdf,Subgroup Detection in Ideological Discussions,"Amjad Abu-Jbara,Pradeep Dasigi,Mona Diab,Dragomir Radev",None,67
acl,https://aclanthology.org/P12-1043.pdf,Cross-Domain Co-Extraction of Sentiment and Topic Lexicons,"Fangtao Li,Sinno Jialin Pan,Ou Jin,Qiang Yang,Xiaoyan Zhu",None,176
acl,https://aclanthology.org/P12-1044.pdf,Learning Syntactic Verb Frames using Graphical Models,"Thomas Lippincott,Anna Korhonen,Diarmuid Ó Séaghdha",None,16
acl,https://aclanthology.org/P12-1045.pdf,Fast Online Lexicon Learning for Grounded Language Acquisition,David Chen,None,36
acl,https://aclanthology.org/P12-1046.pdf,Bayesian Symbol-Refined Tree Substitution Grammars for Syntactic Parsing,"Hiroyuki Shindo,Yusuke Miyao,Akinori Fujino,Masaaki Nagata",None,69
acl,https://aclanthology.org/P12-1047.pdf,String Re-writing Kernel,"Fan Bu,Hang Li,Xiaoyan Zhu",None,15
acl,https://aclanthology.org/P12-1048.pdf,Translation Model Adaptation for Statistical Machine Translation with Monolingual Topic Information,"Jinsong Su,Hua Wu,Haifeng Wang,Yidong Chen,Xiaodong Shi,Huailin Dong,Qun Liu",None,55
acl,https://aclanthology.org/P12-1049.pdf,A Statistical Model for Unsupervised and Semi-supervised Transliteration Mining,"Hassan Sajjad,Alexander Fraser,Helmut Schmid",None,47
acl,https://aclanthology.org/P12-1050.pdf,Modified Distortion Matrices for Phrase-Based Statistical Machine Translation,"Arianna Bisazza,Marcello Federico",None,8
acl,https://aclanthology.org/P12-1051.pdf,Semantic Parsing with Bayesian Tree Transducers,"Bevan Jones,Mark Johnson,Sharon Goldwater",None,55
acl,https://aclanthology.org/P12-1052.pdf,Dependency Hashing for n-best CCG Parsing,"Dominick Ng,James R. Curran",None,7
acl,https://aclanthology.org/P12-1053.pdf,Strong Lexicalization of Tree Adjoining Grammars,"Andreas Maletti,Joost Engelfriet",None,18
acl,https://aclanthology.org/P12-1054.pdf,Tweet Recommendation with Graph Co-Ranking,"Rui Yan,Mirella Lapata,Xiaoming Li",None,128
acl,https://aclanthology.org/P12-1055.pdf,Joint Inference of Named Entity Recognition and Normalization for Tweets,"Xiaohua Liu,Ming Zhou,Xiangyang Zhou,Zhongyang Fu,Furu Wei",None,118
acl,https://aclanthology.org/P12-1056.pdf,Finding Bursty Topics from Microblogs,"Qiming Diao,Jing Jiang,Feida Zhu,Ee-Peng Lim",None,344
acl,https://aclanthology.org/P12-1057.pdf,Spice it up? Mining Refinements to Online Instructions from User Generated Content,"Gregory Druck,Bo Pang",None,23
acl,https://aclanthology.org/P12-1058.pdf,Sentence Dependency Tagging in Online Question Answering Forums,"Zhonghua Qu,Yang Liu",None,10
acl,https://aclanthology.org/P12-1059.pdf,Mining Entity Types from Query Logs via User Intent Modeling,"Patrick Pantel,Thomas Lin,Michael Gamon",None,54
acl,https://aclanthology.org/P12-1060.pdf,Cross-Lingual Mixture Model for Sentiment Classification,"Xinfan Meng,Furu Wei,Xiaohua Liu,Ming Zhou,Ge Xu,Houfeng Wang",None,95
acl,https://aclanthology.org/P12-1061.pdf,Community Answer Summarization for Multi-Sentence Question with Group L1 Regularization,"Wen Chan,Xiangdong Zhou,Wei Wang,Tat-Seng Chua",None,26
acl,https://aclanthology.org/P12-1062.pdf,Error Mining on Dependency Trees,"Claire Gardent,Shashi Narayan",None,11
acl,https://aclanthology.org/P12-1063.pdf,Computational Approaches to Sentence Completion,"Geoffrey Zweig,John C. Platt,Christopher Meek,Christopher J.C. Burges,Ainur Yessenalina,Qiang Liu",None,47
acl,https://aclanthology.org/P12-1064.pdf,Iterative Viterbi A* Algorithm for K-Best Sequential Decoding,"Zhiheng Huang,Yi Chang,Bo Long,Jean-Francois Crespo,Anlei Dong,Sathiya Keerthi,Su-Lin Wu",None,23
acl,https://aclanthology.org/P12-1065.pdf,Bootstrapping via Graph Propagation,"Max Whitney,Anoop Sarkar",None,20
acl,https://aclanthology.org/P12-1066.pdf,Selective Sharing for Multilingual Dependency Parsing,"Tahira Naseem,Regina Barzilay,Amir Globerson",None,148
acl,https://aclanthology.org/P12-1067.pdf,The Creation of a Corpus of English Metalanguage,Shomir Wilson,None,14
acl,https://aclanthology.org/P12-1068.pdf,Crosslingual Induction of Semantic Roles,"Ivan Titov,Alexandre Klementiev",None,39
acl,https://aclanthology.org/P12-1069.pdf,Head-driven Transition-based Parsing with Top-down Prediction,"Katsuhiko Hayashi,Taro Watanabe,Masayuki Asahara,Yuji Matsumoto",None,4
acl,https://aclanthology.org/P12-1070.pdf,MIX Is Not a Tree-Adjoining Language,"Makoto Kanazawa,Sylvain Salvati",None,34
acl,https://aclanthology.org/P12-1071.pdf,Exploiting Multiple Treebanks for Parsing with Quasi-synchronous Grammars,"Zhenghua Li,Ting Liu,Wanxiang Che",None,30
acl,https://aclanthology.org/P12-1072.pdf,A Probabilistic Model for Canonicalizing Named Entity Mentions,"Dani Yogatama,Yanchuan Sim,Noah A. Smith",None,1
acl,https://aclanthology.org/P12-1073.pdf,Multilingual Named Entity Recognition using Parallel Data and Metadata from Wikipedia,"Sungchul Kim,Kristina Toutanova,Hwanjo Yu",None,85
acl,https://aclanthology.org/P12-1074.pdf,A Computational Approach to the Automation of Creative Naming,"Gözde Özbal,Carlo Strapparava",None,38
acl,https://aclanthology.org/P12-1075.pdf,Unsupervised Relation Discovery with Sense Disambiguation,"Limin Yao,Sebastian Riedel,Andrew McCallum",None,82
acl,https://aclanthology.org/P12-1076.pdf,Reducing Wrong Labels in Distant Supervision for Relation Extraction,"Shingo Takamatsu,Issei Sato,Hiroshi Nakagawa",None,222
acl,https://aclanthology.org/P12-1077.pdf,Finding Salient Dates for Building Thematic Timelines,"Rémy Kessler,Xavier Tannier,Caroline Hagège,Véronique Moriceau,André Bittar",None,42
acl,https://aclanthology.org/P12-1078.pdf,Historical Analysis of Legal Opinions with a Sparse Mixed-Effects Latent Variable Model,"William Yang Wang,Elijah Mayfield,Suresh Naidu,Jeremiah Dittmar",None,33
