conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P16-1038.pdf,Grapheme-to-Phoneme Models for (Almost) Any Language,"Aliya Deri,Kevin Knight",None,60
acl,https://aclanthology.org/P16-1039.pdf,Neural Word Segmentation Learning for Chinese,"Deng Cai,Hai Zhao",None,163
acl,https://aclanthology.org/P16-1040.pdf,Transition-Based Neural Word Segmentation,"Meishan Zhang,Yue Zhang,Guohong Fu",None,118
acl,https://aclanthology.org/P16-1041.pdf,A Parallel-Hierarchical Model for Machine Comprehension on Sparse Data,"Adam Trischler,Zheng Ye,Xingdi Yuan,Jing He,Philip Bachman",None,43
acl,https://aclanthology.org/P16-1042.pdf,Combining Natural Logic and Shallow Reasoning for Question Answering,"Gabor Angeli,Neha Nayak,Christopher D. Manning",None,30
acl,https://aclanthology.org/P16-1043.pdf,Easy Questions First? A Case Study on Curriculum Learning for Question Answering,"Mrinmaya Sachan,Eric Xing",None,55
acl,https://aclanthology.org/P16-1044.pdf,Improved Representation Learning for Question Answer Matching,"Ming Tan,Cicero dos Santos,Bing Xiang,Bowen Zhou",None,248
acl,https://aclanthology.org/P16-1045.pdf,Tables as Semi-structured Knowledge for Question Answering,"Sujay Kumar Jauhar,Peter Turney,Eduard Hovy",None,33
acl,https://aclanthology.org/P16-1046.pdf,Neural Summarization by Extracting Sentences and Words,"Jianpeng Cheng,Mirella Lapata",None,730
acl,https://aclanthology.org/P16-1047.pdf,Neural Networks For Negation Scope Detection,"Federico Fancellu,Adam Lopez,Bonnie Webber",None,88
acl,https://aclanthology.org/P16-1048.pdf,CSE: Conceptual Sentence Embeddings based on Attention Model,"Yashen Wang,Heyan Huang,Chong Feng,Qiang Zhou,Jiahui Gu,Xiong Gao",None,47
acl,https://aclanthology.org/P16-1049.pdf,DocChat: An Information Retrieval Approach for Chatbot Engines Using Unstructured Documents,"Zhao Yan,Nan Duan,Junwei Bao,Peng Chen,Ming Zhou,Zhoujun Li,Jianshe Zhou",None,113
acl,https://aclanthology.org/P16-1050.pdf,Investigating the Sources of Linguistic Alignment in Conversation,"Gabriel Doyle,Michael C. Frank",None,25
acl,https://aclanthology.org/P16-1051.pdf,Entropy Converges Between Dialogue Participants: Explanations from an Information-Theoretic Perspective,"Yang Xu,David Reitter",None,13
acl,https://aclanthology.org/P16-1052.pdf,Finding the Middle Ground - A Model for Planning Satisficing Answers,"Sabine Janzen,Wolfgang Maaß,Tobias Kowatsch",None,1
acl,https://aclanthology.org/P16-1053.pdf,A Sentence Interaction Network for Modeling Dependence between Sentences,"Biao Liu,Minlie Huang",None,9
acl,https://aclanthology.org/P16-1054.pdf,Towards more variation in text generation: Developing and evaluating variation models for choice of referential form,"Thiago Castro Ferreira,Emiel Krahmer,Sander Wubben",None,26
acl,https://aclanthology.org/P16-1055.pdf,How Much is 131 Million Dollars? Putting Numbers in Perspective with Compositional Descriptions,"Arun Chaganty,Percy Liang",None,19
acl,https://aclanthology.org/P16-1056.pdf,Generating Factoid Questions With Recurrent Neural Networks: The 30M Factoid Question-Answer Corpus,"Iulian Vlad Serban,Alberto García-Durán,Caglar Gulcehre,Sungjin Ahn,Sarath Chandar,Aaron Courville,Yoshua Bengio",None,250
acl,https://aclanthology.org/P16-1057.pdf,Latent Predictor Networks for Code Generation,"Wang Ling,Phil Blunsom,Edward Grefenstette,Karl Moritz Hermann,Tomáš Kočiský,Fumin Wang,Andrew Senior",None,287
acl,https://aclanthology.org/P16-1058.pdf,Easy Things First: Installments Improve Referring Expression Generation for Objects in Photographs,"Sina Zarrieß,David Schlangen",None,22
acl,https://aclanthology.org/P16-1059.pdf,Collective Entity Resolution with Multi-Focal Attention,"Amir Globerson,Nevena Lazic,Soumen Chakrabarti,Amarnag Subramanya,Michael Ringgaard,Fernando Pereira",None,106
acl,https://aclanthology.org/P16-1060.pdf,Which Coreference Evaluation Metric Do You Trust? A Proposal for a Link-based Entity Aware Metric,"Nafise Sadat Moosavi,Michael Strube",None,90
acl,https://aclanthology.org/P16-1061.pdf,Improving Coreference Resolution by Learning Entity-Level Distributed Representations,"Kevin Clark,Christopher D. Manning",None,311
acl,https://aclanthology.org/P16-1062.pdf,Effects of Creativity and Cluster Tightness on Short Text Clustering Performance,"Catherine Finegan-Dollak,Reed Coke,Rui Zhang,Xiangyi Ye,Dragomir Radev",None,7
acl,https://aclanthology.org/P16-1063.pdf,Generative Topic Embedding: a Continuous Representation of Documents,"Shaohua Li,Tat-Seng Chua,Jun Zhu,Chunyan Miao",None,99
acl,https://aclanthology.org/P16-1064.pdf,Detecting Common Discussion Topics Across Culture From News Reader Comments,"Bei Shi,Wai Lam,Lidong Bing,Yinqing Xu",None,14
acl,https://aclanthology.org/P16-1065.pdf,A Discriminative Topic Model using Document Network Structure,"Weiwei Yang,Jordan Boyd-Graber,Philip Resnik",None,23
