conference,url,title,authors,abstract,citations
emnlp,https://aclanthology.org/D15-1001.pdf,Language Understanding for Text-based Games using Deep Reinforcement Learning,"Karthik Narasimhan,Tejas Kulkarni,Regina Barzilay",None,354
emnlp,https://aclanthology.org/D15-1002.pdf,Distributional vectors encode referential attributes,"Abhijeet Gupta,Gemma Boleda,Marco Baroni,Sebastian Padó",None,65
emnlp,https://aclanthology.org/D15-1003.pdf,Building a shared world: mapping distributional to model-theoretic semantic spaces,"Aurélie Herbelot,Eva Maria Vecchi",None,67
emnlp,https://aclanthology.org/D15-1004.pdf,Dependency Graph-to-String Translation,"Liangyou Li,Andy Way,Qun Liu",None,6
emnlp,https://aclanthology.org/D15-1005.pdf,Reordering Grammar Induction,"Miloš Stanojević,Khalil Sima’an",None,19
emnlp,https://aclanthology.org/D15-1006.pdf,Syntax-based Rewriting for Simultaneous Machine Translation,"He He,Alvin Grissom II,John Morgan,Jordan Boyd-Graber,Hal Daumé III",None,15
emnlp,https://aclanthology.org/D15-1007.pdf,Identifying Political Sentiment between Nation States with Social Media,"Nathanael Chambers,Victor Bowen,Ethan Genco,Xisen Tian,Eric Young,Ganesh Harihara,Eugene Yang",None,36
emnlp,https://aclanthology.org/D15-1008.pdf,Open Extraction of Fine-Grained Political Statements,"David Bamman,Noah A. Smith",None,36
emnlp,https://aclanthology.org/D15-1009.pdf,Using Personal Traits For Brand Preference Prediction,"Chao Yang,Shimei Pan,Jalal Mahmud,Huahai Yang,Padmini Srinivasan",None,32
emnlp,https://aclanthology.org/D15-1010.pdf,Semantic Annotation for Microblog Topics Using Wikipedia Temporal Information,"Tuan Tran,Nam Khanh Tran,Asmelash Teka Hadgu,Robert Jäschke",None,10
emnlp,https://aclanthology.org/D15-1011.pdf,System Combination for Multi-document Summarization,"Kai Hong,Mitchell Marcus,Ani Nenkova",None,41
emnlp,https://aclanthology.org/D15-1012.pdf,Phrase-based Compressive Cross-Language Summarization,"Jin-ge Yao,Xiaojun Wan,Jianguo Xiao",None,42
emnlp,https://aclanthology.org/D15-1013.pdf,Re-evaluating Automatic Summarization with BLEU and 192 Shades of ROUGE,Yvette Graham,None,86
emnlp,https://aclanthology.org/D15-1014.pdf,Indicative Tweet Generation: An Extractive Summarization Problem?,"Priya Sidhaye,Jackie Chi Kit Cheung",None,12
emnlp,https://aclanthology.org/D15-1015.pdf,Visual Bilingual Lexicon Induction with Transferred ConvNet Features,"Douwe Kiela,Ivan Vulić,Stephen Clark",None,44
