conference,url,title,authors,abstract
emnlp,https://aclanthology.org/D13-1037.pdf,Latent Anaphora Resolution for Cross-Lingual Pronoun Prediction,"Christian Hardmeier,Jörg Tiedemann,Joakim Nivre",None
emnlp,https://aclanthology.org/D13-1038.pdf,Towards Situated Dialogue: Revisiting Referring Expression Generation,"Rui Fang,Changsong Liu,Lanbo She,Joyce Y. Chai",None
emnlp,https://aclanthology.org/D13-1039.pdf,Open-Domain Fine-Grained Class Extraction from Web Search Queries,Marius Paşca,None
emnlp,https://aclanthology.org/D13-1040.pdf,Unsupervised Relation Extraction with General Domain Knowledge,"Oier Lopez de Lacalle,Mirella Lapata",None
emnlp,https://aclanthology.org/D13-1041.pdf,Efficient Collective Entity Linking with Stacking,"Zhengyan He,Shujie Liu,Yang Song,Mu Li,Ming Zhou,Houfeng Wang",None
emnlp,https://aclanthology.org/D13-1042.pdf,Joint Bootstrapping of Corpus Annotations and Entity Types,"Hrushikesh Mohapatra,Siddhanth Jain,Soumen Chakrabarti",None
emnlp,https://aclanthology.org/D13-1043.pdf,Effectiveness and Efficiency of Open Relation Extraction,"Filipe Mesquita,Jordan Schmidek,Denilson Barbosa",None
emnlp,https://aclanthology.org/D13-1044.pdf,Automatic Feature Engineering for Answer Selection and Extraction,"Aliaksei Severyn,Alessandro Moschitti",None
emnlp,https://aclanthology.org/D13-1045.pdf,Improving Web Search Ranking by Incorporating Structured Annotation of Queries,"Xiao Ding,Zhicheng Dou,Bing Qin,Ting Liu,Ji-Rong Wen",None
emnlp,https://aclanthology.org/D13-1046.pdf,Building Specialized Bilingual Lexicons Using Large Scale Background Knowledge,"Dhouha Bouamor,Adrian Popescu,Nasredine Semmar,Pierre Zweigenbaum",None
emnlp,https://aclanthology.org/D13-1047.pdf,Document Summarization via Guided Sentence Compression,"Chen Li,Fei Liu,Fuliang Weng,Yang Liu",None
emnlp,https://aclanthology.org/D13-1048.pdf,Anchor Graph: Global Reordering Contexts for Statistical Machine Translation,"Hendra Setiawan,Bowen Zhou,Bing Xiang",None
emnlp,https://aclanthology.org/D13-1049.pdf,Source-Side Classifier Preordering for Machine Translation,"Uri Lerner,Slav Petrov",None
emnlp,https://aclanthology.org/D13-1050.pdf,Improving Pivot-Based Statistical Machine Translation Using Random Walk,"Xiaoning Zhu,Zhongjun He,Hua Wu,Haifeng Wang,Conghui Zhu,Tiejun Zhao",None
emnlp,https://aclanthology.org/D13-1051.pdf,Improving Alignment of System Combination by Using Multi-objective Optimization,"Tian Xia,Zongcheng Ji,Shaodan Zhai,Yidong Chen,Qun Liu,Shaojun Wang",None
emnlp,https://aclanthology.org/D13-1052.pdf,Flexible and Efficient Hypergraph Interactions for Joint Hierarchical and Forest-to-String Decoding,"Martin Čmejrek,Haitao Mi,Bowen Zhou",None
emnlp,https://aclanthology.org/D13-1053.pdf,Factored Soft Source Syntactic Constraints for Hierarchical Machine Translation,"Zhongqiang Huang,Jacob Devlin,Rabih Zbib",None
emnlp,https://aclanthology.org/D13-1054.pdf,Recursive Autoencoders for ITG-Based Translation,"Peng Li,Yang Liu,Maosong Sun",None
emnlp,https://aclanthology.org/D13-1055.pdf,Automatically Classifying Edit Categories in Wikipedia Revisions,"Johannes Daxenberger,Iryna Gurevych",None
emnlp,https://aclanthology.org/D13-1056.pdf,Semi-Markov Phrase-Based Monolingual Alignment,"Xuchen Yao,Benjamin Van Durme,Chris Callison-Burch,Peter Clark",None
emnlp,https://aclanthology.org/D13-1057.pdf,A Constrained Latent Variable Model for Coreference Resolution,"Kai-Wei Chang,Rajhans Samdani,Dan Roth",None
emnlp,https://aclanthology.org/D13-1058.pdf,Centering Similarity Measures to Reduce Hubs,"Ikumi Suzuki,Kazuo Hara,Masashi Shimbo,Marco Saerens,Kenji Fukumizu",None
emnlp,https://aclanthology.org/D13-1059.pdf,Unsupervised Spectral Learning of WCFG as Low-rank Matrix Completion,"Raphaël Bailly,Xavier Carreras,Franco M. Luque,Ariadna Quattoni",None
emnlp,https://aclanthology.org/D13-1060.pdf,Identifying Phrasal Verbs Using Many Bilingual Corpora,"Karl Pichotta,John DeNero",None
emnlp,https://aclanthology.org/D13-1061.pdf,Deep Learning for Chinese Word Segmentation and POS Tagging,"Xiaoqing Zheng,Hanyang Chen,Tianyu Xu",None
emnlp,https://aclanthology.org/D13-1062.pdf,Joint Chinese Word Segmentation and POS Tagging on Heterogeneous Annotated Corpora with Multiple Task Learning,"Xipeng Qiu,Jiayi Zhao,Xuanjing Huang",None
emnlp,https://aclanthology.org/D13-1063.pdf,The Topology of Semantic Knowledge,"Jimmy Dubuisson,Jean-Pierre Eckmann,Christian Scheible,Hinrich Schütze",None
emnlp,https://aclanthology.org/D13-1064.pdf,Unsupervised Induction of Cross-Lingual Semantic Relations,"Mike Lewis,Mark Steedman",None
emnlp,https://aclanthology.org/D13-1065.pdf,Two-Stage Method for Large-Scale Acquisition of Contradiction Pattern Pairs using Entailment,"Julien Kloetzer,Stijn De Saeger,Kentaro Torisawa,Chikara Hashimoto,Jong-Hoon Oh,Motoki Sano,Kiyonori Ohtake",None
emnlp,https://aclanthology.org/D13-1066.pdf,Sarcasm as Contrast between a Positive Sentiment and Negative Situation,"Ellen Riloff,Ashequl Qadir,Prafulla Surve,Lalindra De Silva,Nathan Gilbert,Ruihong Huang",None
emnlp,https://aclanthology.org/D13-1067.pdf,Collective Personal Profile Summarization with Social Networks,"Zhongqing Wang,Shoushan Li,Fang Kong,Guodong Zhou",None
