conference,url,title,authors,abstract,citations
emnlp,https://aclanthology.org/D11-1001.pdf,Fast and Robust Joint Models for Biomedical Event Extraction,"Sebastian Riedel,Andrew McCallum",None,118
emnlp,https://aclanthology.org/D11-1002.pdf,Predicting Thread Discourse Structure over Technical Web Forums,"Li Wang,Marco Lui,Su Nam Kim,Joakim Nivre,Timothy Baldwin",None,71
emnlp,https://aclanthology.org/D11-1003.pdf,Exact Decoding of Phrase-Based Translation Models through Lagrangian Relaxation,"Yin-Wen Chang,Michael Collins",None,54
emnlp,https://aclanthology.org/D11-1004.pdf,Optimal Search for Minimum Error Rate Training,"Michel Galley,Chris Quirk",None,21
emnlp,https://aclanthology.org/D11-1005.pdf,Unsupervised Structure Prediction with Non-Parallel Multilingual Guidance,"Shay B. Cohen,Dipanjan Das,Noah A. Smith",None,106
emnlp,https://aclanthology.org/D11-1006.pdf,Multi-Source Transfer of Delexicalized Dependency Parsers,"Ryan McDonald,Slav Petrov,Keith Hall",None,315
emnlp,https://aclanthology.org/D11-1007.pdf,SMT Helps Bitext Dependency Parsing,"Wenliang Chen,Jun’ichi Kazama,Min Zhang,Yoshimasa Tsuruoka,Yujie Zhang,Yiou Wang,Kentaro Torisawa,Haizhou Li",None,10
emnlp,https://aclanthology.org/D11-1008.pdf,Accurate Parsing with Compact Tree-Substitution Grammars: Double-DOP,"Federico Sangati,Willem Zuidema",None,30
emnlp,https://aclanthology.org/D11-1009.pdf,A Generate and Rank Approach to Sentence Paraphrasing,"Prodromos Malakasiotis,Ion Androutsopoulos",None,13
emnlp,https://aclanthology.org/D11-1010.pdf,Correcting Semantic Collocation Errors with L1-induced Paraphrases,"Daniel Dahlmeier,Hwee Tou Ng",None,66
emnlp,https://aclanthology.org/D11-1011.pdf,Class Label Enhancement via Related Instances,"Zornitsa Kozareva,Konstantin Voevodski,Shanghua Teng",None,30
emnlp,https://aclanthology.org/D11-1012.pdf,A Joint Model for Extended Semantic Role Labeling,"Vivek Srikumar,Dan Roth",None,51
emnlp,https://aclanthology.org/D11-1013.pdf,Domain-Assisted Product Aspect Hierarchy Generation: Towards Hierarchical Organization of Unstructured Consumer Reviews,"Jianxing Yu,Zheng-Jun Zha,Meng Wang,Kai Wang,Tat-Seng Chua",None,92
emnlp,https://aclanthology.org/D11-1014.pdf,Semi-Supervised Recursive Autoencoders for Predicting Sentiment Distributions,"Richard Socher,Jeffrey Pennington,Eric H. Huang,Andrew Y. Ng,Christopher D. Manning",None,1537
emnlp,https://aclanthology.org/D11-1015.pdf,Unsupervised Discovery of Discourse Relations for Eliminating Intra-sentence Polarity Ambiguities,"Lanjun Zhou,Binyang Li,Wei Gao,Zhongyu Wei,Kam-Fai Wong",None,91
emnlp,https://aclanthology.org/D11-1016.pdf,Compositional Matrix-Space Models for Sentiment Analysis,"Ainur Yessenalina,Claire Cardie",None,168
emnlp,https://aclanthology.org/D11-1017.pdf,Training a Parser for Machine Translation Reordering,"Jason Katz-Brown,Slav Petrov,Ryan McDonald,Franz Och,David Talbot,Hiroshi Ichikawa,Masakazu Seno,Hideto Kazawa",None,67
emnlp,https://aclanthology.org/D11-1018.pdf,Inducing Sentence Structure from Parallel Corpora for Reordering,"John DeNero,Jakob Uszkoreit",None,69
emnlp,https://aclanthology.org/D11-1019.pdf,Augmenting String-to-Tree Translation Models with Fuzzy Use of Source-side Syntax,"Jiajun Zhang,Feifei Zhai,Chengqing Zong",None,25
emnlp,https://aclanthology.org/D11-1020.pdf,A novel dependency-to-string model for statistical machine translation,"Jun Xie,Haitao Mi,Qun Liu",None,73
emnlp,https://aclanthology.org/D11-1021.pdf,Bayesian Checking for Topic Models,"David Mimno,David Blei",None,123
emnlp,https://aclanthology.org/D11-1022.pdf,Dual Decomposition with Many Overlapping Components,"André Martins,Noah Smith,Mário Figueiredo,Pedro Aguiar",None,91
emnlp,https://aclanthology.org/D11-1023.pdf,Approximate Scalable Bounded Space Sketch for Large Data NLP,"Amit Goyal,Hal Daumé III",None,35
emnlp,https://aclanthology.org/D11-1024.pdf,Optimizing Semantic Coherence in Topic Models,"David Mimno,Hanna Wallach,Edmund Talley,Miriam Leenders,Andrew McCallum",None,1606
emnlp,https://aclanthology.org/D11-1025.pdf,A Weakly-supervised Approach to Argumentative Zoning of Scientific Documents,"Yufan Guo,Anna Korhonen,Thierry Poibeau",None,65
emnlp,https://aclanthology.org/D11-1026.pdf,Linear Text Segmentation Using Affinity Propagation,"Anna Kazantseva,Stan Szpakowicz",None,57
emnlp,https://aclanthology.org/D11-1027.pdf,Minimally Supervised Event Causality Identification,"Quang Do,Yee Seng Chan,Dan Roth",None,181
emnlp,https://aclanthology.org/D11-1028.pdf,A Model of Discourse Predictions in Human Sentence Processing,"Amit Dubey,Frank Keller,Patrick Sturt",None,3
emnlp,https://aclanthology.org/D11-1029.pdf,Simple Effective Decipherment via Combinatorial Optimization,"Taylor Berg-Kirkpatrick,Dan Klein",None,22
emnlp,https://aclanthology.org/D11-1030.pdf,Universal Morphological Analysis using Structured Nearest Neighbor Prediction,"Young-Bum Kim,João Graça,Benjamin Snyder",None,9
emnlp,https://aclanthology.org/D11-1031.pdf,Training a Log-Linear Parser with Loss Functions via Softmax-Margin,"Michael Auli,Adam Lopez",None,31
emnlp,https://aclanthology.org/D11-1032.pdf,Large-Scale Cognate Recovery,"David Hall,Dan Klein",None,14
emnlp,https://aclanthology.org/D11-1033.pdf,Domain Adaptation via Pseudo In-Domain Data Selection,"Amittai Axelrod,Xiaodong He,Jianfeng Gao",None,565
emnlp,https://aclanthology.org/D11-1034.pdf,Language Models for Machine Translation: Original vs. Translated Texts,"Gennadi Lembersky,Noam Ordan,Shuly Wintner",None,101
emnlp,https://aclanthology.org/D11-1035.pdf,Better Evaluation Metrics Lead to Better Machine Translation,"Chang Liu,Daniel Dahlmeier,Hwee Tou Ng",None,48
emnlp,https://aclanthology.org/D11-1036.pdf,Evaluating Dependency Parsing: Robust and Heuristics-Free Cross-Annotation Evaluation,"Reut Tsarfaty,Joakim Nivre,Evelina Andersson",None,44
emnlp,https://aclanthology.org/D11-1037.pdf,Parser Evaluation over Local and Non-Local Deep Dependencies in a Large Corpus,"Emily M. Bender,Dan Flickinger,Stephan Oepen,Yi Zhang",None,39
emnlp,https://aclanthology.org/D11-1038.pdf,Learning to Simplify Sentences with Quasi-Synchronous Grammar and Integer Programming,"Kristian Woodsend,Mirella Lapata",None,246
emnlp,https://aclanthology.org/D11-1039.pdf,Bootstrapping Semantic Parsers from Conversations,"Yoav Artzi,Luke Zettlemoyer",None,149
emnlp,https://aclanthology.org/D11-1040.pdf,Timeline Generation through Evolutionary Trans-Temporal Summarization,"Rui Yan,Liang Kong,Congrui Huang,Xiaojun Wan,Xiaoming Li,Yan Zhang",None,110
emnlp,https://aclanthology.org/D11-1041.pdf,Corpus-Guided Sentence Generation of Natural Images,"Yezhou Yang,Ching Teo,Hal Daumé III,Yiannis Aloimonos",None,415
emnlp,https://aclanthology.org/D11-1042.pdf,Corroborating Text Evaluation Results with Heterogeneous Measures,"Enrique Amigó,Julio Gonzalo,Jesús Giménez,Felisa Verdejo",None,5
emnlp,https://aclanthology.org/D11-1043.pdf,Ranking Human and Machine Summarization Systems,"Peter Rankel,John Conroy,Eric Slud,Dianne O’Leary",None,30
emnlp,https://aclanthology.org/D11-1044.pdf,Quasi-Synchronous Phrase Dependency Grammars for Machine Translation,"Kevin Gimpel,Noah A. Smith",None,14
emnlp,https://aclanthology.org/D11-1045.pdf,A Word Reordering Model for Improved Machine Translation,"Karthik Visweswariah,Rajakrishnan Rajkumar,Ankur Gandhe,Ananthakrishnan Ramanathan,Jiri Navratil",None,51
emnlp,https://aclanthology.org/D11-1046.pdf,Feature-Rich Language-Independent Syntax-Based Alignment for Statistical Machine Translation,"Jason Riesa,Ann Irvine,Daniel Marcu",None,16
emnlp,https://aclanthology.org/D11-1047.pdf,Efficient retrieval of tree translation examples for Syntax-Based Machine Translation,"Fabien Cromieres,Sadao Kurohashi",None,11
emnlp,https://aclanthology.org/D11-1048.pdf,A generative model for unsupervised discovery of relations and argument classes from clinical texts,"Bryan Rink,Sanda Harabagiu",None,23
