conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P14-1001.pdf,Learning Ensembles of Structured Prediction Rules,"Corinna Cortes,Vitaly Kuznetsov,Mehryar Mohri",None,5
acl,https://aclanthology.org/P14-1002.pdf,Representation Learning for Text-level Discourse Parsing,"Yangfeng Ji,Jacob Eisenstein",None,240
acl,https://aclanthology.org/P14-1003.pdf,Text-level Discourse Dependency Parsing,"Sujian Li,Liang Wang,Ziqiang Cao,Wenjie Li",None,78
acl,https://aclanthology.org/P14-1004.pdf,Discovering Latent Structure in Task-Oriented Dialogues,"Ke Zhai,Jason D. Williams",None,48
acl,https://aclanthology.org/P14-1005.pdf,Learning Structured Perceptrons for Coreference Resolution with Latent Antecedents and Non-local Features,"Anders Björkelund,Jonas Kuhn",None,133
acl,https://aclanthology.org/P14-1006.pdf,Multilingual Models for Compositional Distributed Semantics,"Karl Moritz Hermann,Phil Blunsom",None,333
acl,https://aclanthology.org/P14-1007.pdf,Simple Negation Scope Resolution through Deep Parsing: A Semantic Solution to a Semantic Problem,"Woodley Packard,Emily M. Bender,Jonathon Read,Stephan Oepen,Rebecca Dridan",None,46
acl,https://aclanthology.org/P14-1008.pdf,Logical Inference on Dependency-based Compositional Semantics,"Ran Tian,Yusuke Miyao,Takuya Matsuzaki",None,49
acl,https://aclanthology.org/P14-1009.pdf,A practical and linguistically-motivated approach to compositional distributional semantics,"Denis Paperno,Nghia The Pham,Marco Baroni",None,73
acl,https://aclanthology.org/P14-1010.pdf,Lattice Desegmentation for Statistical Machine Translation,"Mohammad Salameh,Colin Cherry,Grzegorz Kondrak",None,8
acl,https://aclanthology.org/P14-1011.pdf,Bilingually-constrained Phrase Embeddings for Machine Translation,"Jiajun Zhang,Shujie Liu,Mu Li,Ming Zhou,Chengqing Zong",None,130
acl,https://aclanthology.org/P14-1012.pdf,Learning New Semi-Supervised Deep Auto-encoder Features for Statistical Machine Translation,"Shixiang Lu,Zhenbiao Chen,Bo Xu",None,22
acl,https://aclanthology.org/P14-1013.pdf,Learning Topic Representation for SMT with Neural Networks,"Lei Cui,Dongdong Zhang,Shujie Liu,Qiming Chen,Mu Li,Ming Zhou,Muyun Yang",None,21
acl,https://aclanthology.org/P14-1014.pdf,Tagging The Web: Building A Robust Web Tagger with Neural Network,"Ji Ma,Yue Zhang,Jingbo Zhu",None,30
acl,https://aclanthology.org/P14-1015.pdf,Unsupervised Solution Post Identification from Discussion Forums,"Deepak P,Karthik Visweswariah",None,14
acl,https://aclanthology.org/P14-1016.pdf,Weakly Supervised User Profile Extraction from Twitter,"Jiwei Li,Alan Ritter,Eduard Hovy",None,136
acl,https://aclanthology.org/P14-1017.pdf,The effect of wording on message propagation: Topic- and author-controlled natural experiments on Twitter,"Chenhao Tan,Lillian Lee,Bo Pang",None,192
