conference,url,title,authors,abstract
acl,https://aclanthology.org/P13-1001.pdf,A Shift-Reduce Parsing Algorithm for Phrase-based String-to-Dependency Translation,Yang Liu,None
acl,https://aclanthology.org/P13-1002.pdf,Integrating Translation Memory into Phrase-Based Machine Translation during Decoding,"Kun Wang,Chengqing Zong,Keh-Yih Su",None
acl,https://aclanthology.org/P13-1003.pdf,Training Nondeficient Variants of IBM-3 and IBM-4 for Word Alignment,Thomas Schoenemann,None
acl,https://aclanthology.org/P13-1004.pdf,Modelling Annotator Bias with Multi-task Gaussian Processes: An Application to Machine Translation Quality Estimation,"Trevor Cohn,Lucia Specia",None
acl,https://aclanthology.org/P13-1005.pdf,Smoothed marginal distribution constraints for language modeling,"Brian Roark,Cyril Allauzen,Michael Riley",None
acl,https://aclanthology.org/P13-1006.pdf,Grounded Language Learning from Video Described with Sentences,"Haonan Yu,Jeffrey Mark Siskind",None
acl,https://aclanthology.org/P13-1007.pdf,"Plurality, Negation, and Quantification:Towards Comprehensive Quantifier Scope Disambiguation","Mehdi Manshadi,Daniel Gildea,James Allen",None
acl,https://aclanthology.org/P13-1008.pdf,Joint Event Extraction via Structured Prediction with Global Features,"Qi Li,Heng Ji,Liang Huang",None
acl,https://aclanthology.org/P13-1009.pdf,Language-Independent Discriminative Parsing of Temporal Expressions,"Gabor Angeli,Jakob Uszkoreit",None
acl,https://aclanthology.org/P13-1010.pdf,Graph-based Local Coherence Modeling,"Camille Guinaudeau,Michael Strube",None
acl,https://aclanthology.org/P13-1011.pdf,Recognizing Rare Social Phenomena in Conversation: Empowerment Detection in Support Group Chatrooms,"Elijah Mayfield,David Adamson,Carolyn Penstein Rosé",None
acl,https://aclanthology.org/P13-1012.pdf,Decentralized Entity-Level Modeling for Coreference Resolution,"Greg Durrett,David Hall,Dan Klein",None
acl,https://aclanthology.org/P13-1013.pdf,Chinese Parsing Exploiting Characters,"Meishan Zhang,Yue Zhang,Wanxiang Che,Ting Liu",None
acl,https://aclanthology.org/P13-1014.pdf,A Transition-Based Dependency Parser Using a Dynamic Parsing Strategy,"Francesco Sartorio,Giorgio Satta,Joakim Nivre",None
acl,https://aclanthology.org/P13-1015.pdf,General binarization for parsing and translation,"Matthias Büchse,Alexander Koller,Heiko Vogler",None
acl,https://aclanthology.org/P13-1016.pdf,Distortion Model Considering Rich Context for Statistical Machine Translation,"Isao Goto,Masao Utiyama,Eiichiro Sumita,Akihiro Tamura,Sadao Kurohashi",None
acl,https://aclanthology.org/P13-1017.pdf,Word Alignment Modeling with Context Dependent Deep Neural Network,"Nan Yang,Shujie Liu,Mu Li,Ming Zhou,Nenghai Yu",None
acl,https://aclanthology.org/P13-1018.pdf,Microblogs as Parallel Corpora,"Wang Ling,Guang Xiang,Chris Dyer,Alan Black,Isabel Trancoso",None
acl,https://aclanthology.org/P13-1019.pdf,Improved Bayesian Logistic Supervised Topic Models with Data Augmentation,"Jun Zhu,Xun Zheng,Bo Zhang",None
acl,https://aclanthology.org/P13-1020.pdf,Fast and Robust Compressive Summarization with Dual Decomposition and Multi-Task Learning,"Miguel Almeida,André Martins",None
acl,https://aclanthology.org/P13-1021.pdf,Unsupervised Transcription of Historical Documents,"Taylor Berg-Kirkpatrick,Greg Durrett,Dan Klein",None
