conference,url,title,authors,abstract
acl,https://aclanthology.org/P15-1049.pdf,S-MART: Novel Tree-based Structured Learning Algorithms Applied to Tweet Entity Linking,"Yi Yang,Ming-Wei Chang",None
acl,https://aclanthology.org/P15-1050.pdf,Entity Retrieval via Entity Factoid Hierarchy,"Chunliang Lu,Wai Lam,Yi Liao",None
acl,https://aclanthology.org/P15-1051.pdf,Encoding Distributional Semantics into Triple-Based Knowledge Ranking for Document Enrichment,"Muyu Zhang,Bing Qin,Mao Zheng,Graeme Hirst,Ting Liu",None
acl,https://aclanthology.org/P15-1052.pdf,A Strategic Reasoning Model for Generating Alternative Answers,"Jon Stevens,Anton Benz,Sebastian Reuße,Ralf Klabunde",None
acl,https://aclanthology.org/P15-1053.pdf,Modeling Argument Strength in Student Essays,"Isaac Persing,Vincent Ng",None
acl,https://aclanthology.org/P15-1054.pdf,Summarization of Multi-Document Topic Hierarchies using Submodular Mixtures,"Ramakrishna Bairi,Rishabh Iyer,Ganesh Ramakrishnan,Jeff Bilmes",None
acl,https://aclanthology.org/P15-1055.pdf,Learning to Explain Entity Relationships in Knowledge Graphs,"Nikos Voskarides,Edgar Meij,Manos Tsagkias,Maarten de Rijke,Wouter Weerkamp",None
acl,https://aclanthology.org/P15-1056.pdf,Bring you to the past: Automatic Generation of Topically Relevant Event Chronicles,"Tao Ge,Wenzhe Pei,Heng Ji,Sujian Li,Baobao Chang,Zhifang Sui",None
acl,https://aclanthology.org/P15-1057.pdf,Context-aware Entity Morph Decoding,"Boliang Zhang,Hongzhao Huang,Xiaoman Pan,Sujian Li,Chin-Yew Lin,Heng Ji,Kevin Knight,Zhen Wen,Yizhou Sun,Jiawei Han,Bulent Yener",None
acl,https://aclanthology.org/P15-1058.pdf,Multi-Objective Optimization for the Joint Disambiguation of Nouns and Named Entities,"Dirk Weissenborn,Leonhard Hennig,Feiyu Xu,Hans Uszkoreit",None
acl,https://aclanthology.org/P15-1059.pdf,Building a Scientific Concept Hierarchy Database (SCHBase),"Eytan Adar,Srayan Datta",None
acl,https://aclanthology.org/P15-1060.pdf,Sentiment-Aspect Extraction based on Restricted Boltzmann Machines,"Linlin Wang,Kang Liu,Zhu Cao,Jun Zhao,Gerard de Melo",None
